Name,CountryCode,Population
Bismil,TUR,101400
BiÃ±an,PHL,201186
Blackburn,GBR,140000
Blackpool,GBR,151000
Blantyre,MWI,478155
Blida (el-Boulaida),DZA,127284
Blumenau,BRA,244379
Boa Vista,BRA,167185
Bobo-Dioulasso,BFA,300000
Boca del RÃ­o,MEX,135721
Bogor,IDN,285114
Bogra,BGD,120170
Bojnurd,IRN,134835
Bokaro Steel City,IND,333683
Bologna,ITA,381161
Boma,COD,135284
Bonn,DEU,301048
Bordeaux,FRA,215363
Bose,CHN,93009
Boston,USA,589141
Botshabelo,ZAF,177971
Bottrop,DEU,121097
Boulogne-Billancourt,FRA,106367
Bournemouth,GBR,162000
Bozhou,CHN,106346
Brahmanbaria,BGD,109032
Brahmapur,IND,210418
Brakpan,ZAF,171363
Brampton,CAN,296711
Brasov,ROM,314225
BrasÃ­lia,BRA,1969868
Brazzaville,COG,950000
Breda,NLD,160398
Bremen,DEU,540330
Brest,BLR,286000
Brighton,GBR,156124
Brindisi,ITA,93454
Bristol,GBR,402000
Brownsville,USA,139722
Brugge,BEL,116246
Bruxelles [Brussel],BEL,133859
Bucaramanga,COL,515555
Budapest,HUN,1811552
Budaun,IND,116695
Buenaventura,COL,224336
Buga,COL,110699
Bukan,IRN,120020
Bukavu,COD,201569
Bulandshahr,IND,127201
Bulaq al-Dakrur,EGY,148787
Burgos,ESP,162802
Burhanpur,IND,172710
Burlington,CAN,145150
Burnaby,CAN,179209
Butuan,PHL,267279
Buzau,ROM,148372
BÃ¦rum,NOR,101340
BÃ©char,DZA,107311
Cabo de Santo Agostinho,BRA,149964
Cabuyao,PHL,106630
Cachoeiro de Itapemirim,BRA,155024
Cadiz,PHL,141954
Caen,FRA,113987
Cagliari,ITA,165926
Caguas,PRI,140502
Cainta,PHL,242511
Calapan,PHL,105910
Calbayog,PHL,147187
Calcutta [Kolkata],IND,4399819
Calgary,CAN,768082
Cali,COL,2077386
Cam Pha,VNM,209086
CamagÃ¼ey,CUB,298726
Camaragibe,BRA,118968
CamaÃ§ari,BRA,149146
CametÃ¡,BRA,92779
Campina Grande,BRA,352497
Campinas,BRA,950043
Campo Grande,BRA,649593
Campos dos Goytacazes,BRA,398418
Canberra,AUS,322723
Cangzhou,CHN,242708
Canoas,BRA,294125
Cape Town,ZAF,2352121
Caracas,VEN,1975294
Cariacica,BRA,319033
Cartagena,COL,805757
Cartago,COL,125884
Caruaru,BRA,244247
CarÃºpano,VEN,119639
Casablanca,MAR,2940623
Cascavel,BRA,237510
Castanhal,BRA,127634
Catanduva,BRA,107761
Catania,ITA,337862
Catanzaro,ITA,96700
Cauayan,PHL,103952
Caucaia,BRA,238738
Cavite,PHL,99367
Cayenne,GUF,50699
Central Coast,AUS,227657
Centro (Villahermosa),MEX,519873
Cesena,ITA,89852
Chalco,MEX,222201
Champdani,IND,98818
Chandannagar,IND,120378
Chandigarh,IND,504094
Chandrapur,IND,226105
Changde,CHN,301276
Changji,CHN,132260
